Partita,GG,NG
Lazio-Salernitana,0.28,0.72
Lecce-Empoli,0.53,0.47
Torino-Juventus,0.37,0.63
Bologna-Monza,0.35,0.65
Napoli-Frosinone,0.32,0.68
Sassuolo-Milan,0.46,0.54
Inter-Cagliari,0.37,0.63
Fiorentina-Genoa,0.45,0.55
Atalanta-Verona,0.43,0.57
Udinese-Roma,0.54,0.46
