Partita,V,N,P
Lazio-Salernitana,0.59,0.27,0.14
Lecce-Empoli,0.38,0.37,0.25
Torino-Juventus,0.29,0.28,0.43
Bologna-Monza,0.56,0.28,0.16
Napoli-Frosinone,0.6,0.26,0.14
Sassuolo-Milan,0.23,0.23,0.54
Inter-Cagliari,0.66,0.21,0.13
Fiorentina-Genoa,0.47,0.33,0.2
Atalanta-Verona,0.62,0.27,0.12
Udinese-Roma,0.24,0.27,0.49
