Partita,O,U
Lazio-Salernitana,0.37,0.63
Lecce-Empoli,0.3,0.7
Torino-Juventus,0.31,0.69
Bologna-Monza,0.43,0.57
Napoli-Frosinone,0.23,0.77
Sassuolo-Milan,0.46,0.54
Inter-Cagliari,0.27,0.73
Fiorentina-Genoa,0.32,0.68
Atalanta-Verona,0.35,0.65
Udinese-Roma,0.43,0.57
