,squadra,esito
0,Frosinone,vittoria
1,Monza,vittoria
2,Verona,vittoria
3,Milan,vittoria
4,Fiorentina,pareggio
5,Juventus,pareggio
6,Lazio,sconfitta
7,Napoli,vittoria
8,Salernitana,pareggio
9,Cagliari,sconfitta
10,Atalanta,sconfitta
11,Empoli,sconfitta
12,Roma,sconfitta
13,Torino,sconfitta
14,Lecce,pareggio
15,Bologna,pareggio
16,Genoa,vittoria
17,Sassuolo,sconfitta
18,Udinese,pareggio
19,Inter,vittoria
