,squadra,esito
0,Bologna,vittoria
1,Salernitana,sconfitta
2,Atalanta,sconfitta
3,Milan,sconfitta
4,Verona,sconfitta
5,Cagliari,vittoria
6,Roma,vittoria
7,Fiorentina,sconfitta
8,Frosinone,vittoria
9,Torino,vittoria
10,Lazio,sconfitta
11,Napoli,vittoria
12,Inter,vittoria
13,Udinese,vittoria
14,Monza,vittoria
15,Genoa,sconfitta
16,Lecce,sconfitta
17,Juventus,vittoria
18,Empoli,sconfitta
19,Sassuolo,sconfitta
