,squadra,esito
0,Genoa,sconfitta
1,Cagliari,pareggio
2,Empoli,vittoria
3,Verona,vittoria
4,Sassuolo,sconfitta
5,Torino,pareggio
6,Salernitana,sconfitta
7,Monza,sconfitta
8,Roma,sconfitta
9,Milan,sconfitta
10,Lazio,vittoria
11,Juventus,pareggio
12,Napoli,sconfitta
13,Udinese,sconfitta
14,Lecce,vittoria
15,Frosinone,pareggio
16,Fiorentina,vittoria
17,Atalanta,vittoria
18,Bologna,vittoria
19,Inter,vittoria
