,squadra,esito
0,Empoli,sconfitta
1,Monza,vittoria
2,Udinese,sconfitta
3,Salernitana,sconfitta
4,Frosinone,sconfitta
5,Juventus,pareggio
6,Verona,sconfitta
7,Atalanta,pareggio
8,Roma,vittoria
9,Inter,pareggio
10,Bologna,vittoria
11,Cagliari,sconfitta
12,Torino,vittoria
13,Lecce,vittoria
14,Lazio,vittoria
15,Genoa,pareggio
16,Milan,vittoria
17,Fiorentina,pareggio
18,Sassuolo,sconfitta
19,Napoli,pareggio
