,squadra,esito
0,Fiorentina,vittoria
1,Napoli,pareggio
2,Genoa,pareggio
3,Lazio,vittoria
4,Atalanta,vittoria
5,Cagliari,pareggio
6,Udinese,vittoria
7,Verona,sconfitta
8,Milan,vittoria
9,Juventus,vittoria
10,Torino,sconfitta
11,Monza,pareggio
12,Inter,pareggio
13,Frosinone,sconfitta
14,Lecce,sconfitta
15,Empoli,pareggio
16,Bologna,sconfitta
17,Salernitana,vittoria
18,Sassuolo,sconfitta
19,Roma,sconfitta
