Squadra,Mgf,Sgf,Mgs,Sgs
Napoli,2.25,1.6690459207925603,0.75,0.7071067811865476
Juventus,1.5,1.1952286093343936,0.625,0.7440238091428449
Milan,2.0,1.3093073414159542,1.125,0.8345229603962802
Atalanta,1.5,0.7559289460184544,0.375,0.5175491695067657
Fiorentina,0.875,1.1259916264596033,0.875,0.8345229603962802
Inter,1.75,0.8864052604279183,1.625,1.3024701806293193
Lazio,2.125,1.4577379737113252,0.625,0.7440238091428449
Torino,0.875,0.8345229603962802,1.25,1.164964745021435
Roma,1.25,1.0350983390135313,1.0,1.3093073414159542
Spezia,0.875,0.9910312089651149,1.875,1.246423454758225
Cremonese,0.75,0.7071067811865476,1.875,1.3562026818605375
Bologna,0.875,0.8345229603962802,1.625,0.7440238091428449
Lecce,0.875,0.6408699444616557,1.125,0.3535533905932738
Monza,0.875,0.9910312089651149,1.75,1.3887301496588271
Empoli,0.875,0.6408699444616557,1.25,1.0350983390135313
Salernitana,1.25,1.3887301496588271,1.625,1.5979898086569353
Udinese,2.125,1.246423454758225,1.0,1.3093073414159542
Sampdoria,0.5,0.5345224838248488,2.0,1.1952286093343936
Verona,0.875,0.8345229603962802,1.875,1.3562026818605375
Sassuolo,1.25,1.6690459207925603,1.0,1.4142135623730951
