Squadra,Mgf,Sgf,Mgs,Sgs
Napoli,5.0,0.0,2.0,0.0
Juventus,3.0,0.0,0.0,0.0
Milan,4.0,0.0,2.0,0.0
Atalanta,2.0,0.0,0.0,0.0
Fiorentina,3.0,0.0,2.0,0.0
Inter,2.0,0.0,1.0,0.0
Lazio,2.0,0.0,1.0,0.0
Torino,2.0,0.0,1.0,0.0
Roma,1.0,0.0,0.0,0.0
Spezia,1.0,0.0,0.0,0.0
Cremonese,2.0,0.0,3.0,0.0
Bologna,1.0,0.0,2.0,0.0
Lecce,1.0,0.0,2.0,0.0
Monza,1.0,0.0,2.0,0.0
Empoli,0.0,0.0,1.0,0.0
Salernitana,0.0,0.0,1.0,0.0
Udinese,2.0,0.0,4.0,0.0
Sampdoria,0.0,0.0,2.0,0.0
Verona,2.0,0.0,5.0,0.0
Sassuolo,0.0,0.0,3.0,0.0
