Squadra,Mgf,Sgf,Mgs,Sgs
Napoli,2.125,1.4312187452567107,0.6875,0.895778630487862
Juventus,1.5,1.270001270001905,0.84375,1.1670026397957816
Milan,1.625,1.128801819801464,1.1875,1.20315445607008
Atalanta,1.65625,1.4942767157477248,1.15625,0.9196554403863755
Fiorentina,1.3125,1.1482806221027917,1.125,1.0701220913160239
Inter,1.6875,1.4013242584852925,1.09375,0.9954533737723926
Lazio,1.5625,1.2427207404359506,0.75,1.016001016001524
Torino,1.03125,0.7398506824069736,1.1875,1.0906494070196242
Roma,1.375,0.9418581497197699,0.9375,1.1053389496206072
Spezia,0.8125,0.8590129369261278,1.59375,0.945596756448779
Cremonese,0.875,0.8706690049203728,1.8125,1.1198358174592007
Bologna,1.28125,0.8884337432408971,1.25,1.1913667943625412
Lecce,0.84375,0.7666169923131275,1.1875,0.6444552588389371
Monza,1.25,0.9837387536759294,1.34375,1.1530989102302514
Empoli,0.8125,0.6927039119836262,1.3125,1.0606601717798212
Salernitana,1.1875,1.0906494070196242,1.59375,1.583368703623039
Udinese,1.3125,1.1198358174592007,1.25,1.1071614388213236
Sampdoria,0.625,0.8327955253822958,1.78125,1.2110878873837942
Verona,0.84375,0.7233156184342819,1.40625,1.073414058942533
Sassuolo,1.25,1.344043010064494,1.46875,1.1635422833577171
