Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,32.0,56.0,24.0,3.0,3.0,1,69.0,22.0
Lazio,37.0,64.0,27.0,5.0,3.0,2,65.0,20.0
Inter,27.0,56.0,29.0,7.0,3.0,3,61.0,18.0
Atalanta,41.0,80.0,39.0,6.0,5.0,4,57.0,17.0
Roma,15.0,53.0,38.0,6.0,8.0,5,48.0,14.0
Napoli,9.0,46.0,37.0,6.0,9.0,6,45.0,13.0
Milan,-1.0,34.0,35.0,6.0,10.0,7,42.0,12.0
Parma,3.0,38.0,35.0,6.0,11.0,8,39.0,11.0
Verona,2.0,34.0,32.0,9.0,9.0,9,39.0,10.0
Cagliari,3.0,47.0,44.0,8.0,10.0,10,38.0,10.0
Bologna,-5.0,40.0,45.0,7.0,11.0,11,37.0,10.0
Sassuolo,-1.0,48.0,49.0,7.0,12.0,12,34.0,9.0
Fiorentina,-5.0,34.0,39.0,10.0,11.0,13,31.0,7.0
Torino,-18.0,32.0,50.0,4.0,15.0,14,31.0,9.0
Udinese,-18.0,23.0,41.0,7.0,14.0,15,28.0,7.0
Genoa,-19.0,34.0,53.0,8.0,14.0,16,26.0,6.0
Sampdoria,-19.0,31.0,50.0,5.0,16.0,17,26.0,7.0
Lecce,-29.0,35.0,64.0,7.0,15.0,18,25.0,6.0
Brescia,-27.0,25.0,52.0,6.0,18.0,19,18.0,4.0
Spal,-27.0,21.0,48.0,3.0,20.0,20,18.0,5.0
