Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,9.0,18.0,9.0,2.0,0.0,1,26.0,8.0
Inter,12.0,22.0,10.0,1.0,1.0,2,25.0,8.0
Atalanta,14.0,30.0,16.0,3.0,1.0,3,21.0,6.0
Roma,7.0,18.0,11.0,4.0,1.0,4,19.0,5.0
Lazio,12.0,22.0,10.0,3.0,2.0,5,18.0,5.0
Napoli,7.0,20.0,13.0,3.0,2.0,6,18.0,5.0
Cagliari,6.0,16.0,10.0,3.0,2.0,7,18.0,5.0
Fiorentina,2.0,15.0,13.0,3.0,3.0,8,15.0,4.0
Parma,1.0,15.0,14.0,1.0,5.0,9,13.0,4.0
Milan,-3.0,10.0,13.0,1.0,5.0,10,13.0,4.0
Sassuolo,0.0,18.0,18.0,0.0,6.0,11,12.0,4.0
Bologna,-1.0,14.0,15.0,3.0,4.0,12,12.0,3.0
Verona,-1.0,7.0,8.0,3.0,4.0,13,12.0,3.0
Torino,-5.0,11.0,16.0,2.0,5.0,14,11.0,3.0
Udinese,-12.0,5.0,17.0,1.0,6.0,15,10.0,3.0
Lecce,-8.0,11.0,19.0,3.0,5.0,16,9.0,2.0
Genoa,-10.0,13.0,23.0,2.0,6.0,17,8.0,2.0
Brescia,-7.0,9.0,16.0,1.0,7.0,18,7.0,2.0
Spal,-10.0,7.0,17.0,1.0,7.0,19,7.0,2.0
Sampdoria,-13.0,6.0,19.0,2.0,7.0,20,5.0,1.0
