Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,10.0,19.0,9.0,2.0,0.0,1,29.0,9.0
Inter,13.0,24.0,11.0,1.0,1.0,2,28.0,9.0
Roma,8.0,20.0,12.0,4.0,1.0,3,22.0,6.0
Lazio,13.0,24.0,11.0,3.0,2.0,4,21.0,6.0
Atalanta,12.0,30.0,18.0,3.0,2.0,5,21.0,6.0
Cagliari,8.0,18.0,10.0,3.0,2.0,6,21.0,6.0
Napoli,6.0,21.0,15.0,3.0,3.0,7,18.0,5.0
Fiorentina,2.0,16.0,14.0,4.0,3.0,8,16.0,4.0
Verona,0.0,9.0,9.0,3.0,4.0,9,15.0,4.0
Parma,1.0,16.0,15.0,2.0,5.0,10,14.0,4.0
Sassuolo,0.0,20.0,20.0,1.0,6.0,11,13.0,4.0
Milan,-4.0,11.0,15.0,1.0,6.0,12,13.0,4.0
Udinese,-10.0,8.0,18.0,1.0,6.0,13,13.0,4.0
Bologna,-2.0,15.0,17.0,3.0,5.0,14,12.0,3.0
Torino,-6.0,11.0,17.0,2.0,6.0,15,11.0,3.0
Lecce,-8.0,13.0,21.0,4.0,5.0,16,10.0,2.0
Genoa,-12.0,14.0,26.0,2.0,7.0,17,8.0,2.0
Sampdoria,-12.0,7.0,19.0,2.0,7.0,18,8.0,2.0
Brescia,-8.0,10.0,18.0,1.0,8.0,19,7.0,2.0
Spal,-11.0,7.0,18.0,1.0,8.0,20,7.0,2.0
