Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,26.0,50.0,24.0,3.0,3.0,1,63.0,20.0
Lazio,37.0,60.0,23.0,5.0,2.0,2,62.0,19.0
Inter,26.0,51.0,25.0,6.0,3.0,3,57.0,17.0
Atalanta,39.0,74.0,35.0,6.0,5.0,4,51.0,15.0
Roma,16.0,51.0,35.0,6.0,7.0,5,45.0,13.0
Napoli,5.0,41.0,36.0,6.0,9.0,6,39.0,11.0
Verona,4.0,31.0,27.0,8.0,8.0,7,38.0,10.0
Parma,1.0,33.0,32.0,6.0,10.0,8,36.0,10.0
Milan,-6.0,28.0,34.0,6.0,10.0,9,36.0,10.0
Bologna,-4.0,38.0,42.0,7.0,10.0,10,34.0,9.0
Cagliari,0.0,42.0,42.0,8.0,10.0,11,32.0,8.0
Sassuolo,-1.0,42.0,43.0,5.0,12.0,12,32.0,9.0
Fiorentina,-4.0,32.0,36.0,9.0,10.0,13,30.0,7.0
Udinese,-16.0,21.0,37.0,7.0,12.0,14,28.0,7.0
Torino,-17.0,29.0,46.0,4.0,14.0,15,28.0,8.0
Sampdoria,-17.0,29.0,46.0,5.0,14.0,16,26.0,7.0
Genoa,-16.0,31.0,47.0,7.0,13.0,17,25.0,6.0
Lecce,-22.0,34.0,56.0,7.0,13.0,18,25.0,6.0
Spal,-24.0,20.0,44.0,3.0,18.0,19,18.0,5.0
Brescia,-27.0,22.0,49.0,4.0,18.0,20,16.0,4.0
