Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,8.0,15.0,7.0,1.0,0.0,1,22.0,7.0
Inter,11.0,18.0,7.0,0.0,1.0,2,21.0,7.0
Atalanta,8.0,21.0,13.0,2.0,1.0,3,17.0,5.0
Napoli,7.0,17.0,10.0,1.0,2.0,4,16.0,5.0
Cagliari,5.0,12.0,7.0,2.0,2.0,5,14.0,4.0
Roma,2.0,12.0,10.0,4.0,1.0,6,13.0,3.0
Lazio,7.0,16.0,9.0,3.0,2.0,7,12.0,3.0
Parma,2.0,13.0,11.0,0.0,4.0,8,12.0,4.0
Fiorentina,2.0,12.0,10.0,3.0,2.0,9,12.0,3.0
Torino,-1.0,10.0,11.0,1.0,4.0,10,10.0,3.0
Udinese,-2.0,4.0,6.0,1.0,4.0,11,10.0,3.0
Milan,-3.0,8.0,11.0,1.0,4.0,12,10.0,3.0
Sassuolo,0.0,16.0,16.0,0.0,5.0,13,9.0,3.0
Bologna,-1.0,10.0,11.0,3.0,3.0,14,9.0,2.0
Verona,-1.0,6.0,7.0,3.0,3.0,15,9.0,2.0
Brescia,-4.0,7.0,11.0,1.0,5.0,16,7.0,2.0
Lecce,-8.0,9.0,17.0,1.0,5.0,17,7.0,2.0
Spal,-9.0,6.0,15.0,0.0,6.0,18,6.0,2.0
Genoa,-11.0,9.0,20.0,2.0,5.0,19,5.0,1.0
Sampdoria,-12.0,4.0,16.0,1.0,6.0,20,4.0,1.0
