Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,11.0,13.0,2.0,0.0,0.0,1,18.0,6.0
Juventus,6.0,11.0,5.0,1.0,0.0,2,16.0,5.0
Atalanta,6.0,15.0,9.0,1.0,1.0,3,13.0,4.0
Napoli,5.0,15.0,10.0,0.0,2.0,4,12.0,4.0
Roma,2.0,11.0,9.0,2.0,1.0,5,11.0,3.0
Lazio,7.0,11.0,4.0,1.0,2.0,6,10.0,3.0
Cagliari,3.0,9.0,6.0,1.0,2.0,7,10.0,3.0
Torino,0.0,10.0,10.0,0.0,3.0,8,9.0,3.0
Parma,-1.0,8.0,9.0,0.0,3.0,9,9.0,3.0
Fiorentina,1.0,11.0,10.0,2.0,2.0,10,8.0,2.0
Bologna,0.0,7.0,7.0,2.0,2.0,11,8.0,2.0
Udinese,-2.0,3.0,5.0,1.0,3.0,12,7.0,2.0
Sassuolo,-1.0,11.0,12.0,0.0,4.0,13,6.0,2.0
Verona,-1.0,4.0,5.0,3.0,2.0,14,6.0,1.0
Brescia,-2.0,7.0,9.0,0.0,4.0,15,6.0,2.0
Milan,-4.0,4.0,8.0,0.0,4.0,16,6.0,2.0
Lecce,-6.0,6.0,12.0,0.0,4.0,17,6.0,2.0
Genoa,-6.0,7.0,13.0,2.0,3.0,18,5.0,1.0
Spal,-8.0,5.0,13.0,0.0,5.0,19,3.0,1.0
Sampdoria,-10.0,4.0,14.0,0.0,5.0,20,3.0,1.0
