Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,22.0,43.0,21.0,3.0,2.0,1,54.0,17.0
Inter,26.0,44.0,18.0,6.0,1.0,2,51.0,15.0
Lazio,32.0,52.0,20.0,5.0,2.0,3,50.0,15.0
Atalanta,29.0,59.0,30.0,6.0,5.0,4,39.0,11.0
Roma,13.0,40.0,27.0,6.0,5.0,5,39.0,11.0
Cagliari,4.0,38.0,34.0,8.0,6.0,6,32.0,8.0
Parma,2.0,31.0,29.0,5.0,8.0,7,32.0,9.0
Milan,-4.0,23.0,27.0,5.0,8.0,8,32.0,9.0
Verona,3.0,26.0,23.0,7.0,7.0,9,31.0,8.0
Napoli,3.0,34.0,31.0,6.0,8.0,10,30.0,8.0
Bologna,0.0,34.0,34.0,6.0,8.0,11,30.0,8.0
Torino,-13.0,26.0,39.0,3.0,11.0,12,27.0,8.0
Sassuolo,-1.0,36.0,37.0,5.0,10.0,13,26.0,7.0
Fiorentina,-7.0,25.0,32.0,7.0,9.0,14,25.0,6.0
Udinese,-16.0,19.0,35.0,3.0,12.0,15,24.0,7.0
Sampdoria,-15.0,22.0,37.0,5.0,12.0,16,20.0,5.0
Lecce,-15.0,27.0,42.0,7.0,11.0,17,19.0,4.0
Genoa,-20.0,23.0,43.0,7.0,12.0,18,16.0,3.0
Brescia,-21.0,20.0,41.0,3.0,15.0,19,15.0,4.0
Spal,-22.0,16.0,38.0,3.0,15.0,20,15.0,4.0
