Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,19.0,37.0,18.0,3.0,1.0,1,48.0,15.0
Inter,24.0,40.0,16.0,4.0,1.0,2,46.0,14.0
Lazio,24.0,41.0,17.0,4.0,2.0,3,43.0,13.0
Atalanta,23.0,49.0,26.0,5.0,4.0,4,35.0,10.0
Roma,13.0,34.0,21.0,5.0,4.0,5,35.0,10.0
Cagliari,4.0,33.0,29.0,5.0,6.0,6,29.0,8.0
Parma,1.0,26.0,25.0,4.0,7.0,7,28.0,8.0
Torino,-1.0,25.0,26.0,3.0,8.0,8,27.0,8.0
Verona,0.0,21.0,21.0,5.0,7.0,9,26.0,7.0
Milan,-6.0,18.0,24.0,4.0,8.0,10,25.0,7.0
Napoli,2.0,28.0,26.0,6.0,7.0,11,24.0,6.0
Udinese,-11.0,17.0,28.0,3.0,9.0,12,24.0,7.0
Bologna,-3.0,28.0,31.0,5.0,8.0,13,23.0,6.0
Fiorentina,-6.0,23.0,29.0,6.0,8.0,14,21.0,5.0
Sassuolo,-4.0,30.0,34.0,4.0,10.0,15,19.0,5.0
Sampdoria,-9.0,19.0,28.0,4.0,10.0,16,19.0,5.0
Lecce,-16.0,22.0,38.0,6.0,10.0,17,15.0,3.0
Genoa,-18.0,20.0,38.0,5.0,11.0,18,14.0,3.0
Brescia,-19.0,17.0,36.0,2.0,13.0,19,14.0,4.0
Spal,-17.0,12.0,29.0,3.0,13.0,20,12.0,3.0
