Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,34.0,59.0,25.0,3.0,3.0,1,72.0,23.0
Lazio,38.0,66.0,28.0,5.0,3.0,2,68.0,21.0
Inter,33.0,62.0,29.0,7.0,3.0,3,64.0,19.0
Atalanta,43.0,82.0,39.0,6.0,5.0,4,60.0,18.0
Roma,13.0,53.0,40.0,6.0,9.0,5,48.0,14.0
Napoli,7.0,46.0,39.0,6.0,10.0,6,45.0,13.0
Milan,-1.0,36.0,37.0,7.0,10.0,7,43.0,12.0
Verona,3.0,37.0,34.0,9.0,9.0,8,42.0,11.0
Cagliari,3.0,48.0,45.0,9.0,10.0,9,39.0,10.0
Parma,2.0,40.0,38.0,6.0,12.0,10,39.0,11.0
Bologna,-5.0,41.0,46.0,8.0,11.0,11,38.0,10.0
Sassuolo,1.0,51.0,50.0,7.0,12.0,12,37.0,10.0
Fiorentina,-7.0,35.0,42.0,10.0,12.0,13,31.0,7.0
Udinese,-16.0,25.0,41.0,7.0,14.0,14,31.0,8.0
Torino,-19.0,33.0,52.0,4.0,16.0,15,31.0,9.0
Sampdoria,-18.0,33.0,51.0,5.0,16.0,16,29.0,8.0
Genoa,-21.0,35.0,56.0,8.0,15.0,17,26.0,6.0
Lecce,-30.0,36.0,66.0,7.0,16.0,18,25.0,6.0
Spal,-27.0,23.0,50.0,4.0,20.0,19,19.0,5.0
Brescia,-33.0,25.0,58.0,6.0,19.0,20,18.0,4.0
