Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,28.0,52.0,24.0,3.0,3.0,1,66.0,21.0
Lazio,36.0,62.0,26.0,5.0,3.0,2,62.0,19.0
Inter,26.0,54.0,28.0,7.0,3.0,3,58.0,17.0
Atalanta,40.0,77.0,37.0,6.0,5.0,4,54.0,16.0
Roma,17.0,53.0,36.0,6.0,7.0,5,48.0,14.0
Napoli,7.0,43.0,36.0,6.0,9.0,6,42.0,12.0
Parma,4.0,37.0,33.0,6.0,10.0,7,39.0,11.0
Milan,-3.0,32.0,35.0,6.0,10.0,8,39.0,11.0
Verona,2.0,31.0,29.0,8.0,9.0,9,38.0,10.0
Cagliari,1.0,43.0,42.0,8.0,10.0,10,35.0,9.0
Bologna,-6.0,38.0,44.0,7.0,11.0,11,34.0,9.0
Sassuolo,-1.0,45.0,46.0,6.0,12.0,12,33.0,9.0
Fiorentina,-4.0,33.0,37.0,10.0,10.0,13,31.0,7.0
Torino,-16.0,30.0,46.0,4.0,14.0,14,31.0,9.0
Udinese,-17.0,21.0,38.0,7.0,13.0,15,28.0,7.0
Sampdoria,-18.0,30.0,48.0,5.0,15.0,16,26.0,7.0
Genoa,-19.0,32.0,51.0,7.0,14.0,17,25.0,6.0
Lecce,-25.0,35.0,60.0,7.0,14.0,18,25.0,6.0
Spal,-25.0,20.0,45.0,3.0,19.0,19,18.0,5.0
Brescia,-27.0,23.0,50.0,5.0,18.0,20,17.0,4.0
