Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,13.0,23.0,10.0,2.0,0.0,1,35.0,11.0
Inter,17.0,29.0,12.0,1.0,1.0,2,34.0,11.0
Lazio,16.0,30.0,14.0,3.0,2.0,3,27.0,8.0
Cagliari,11.0,25.0,14.0,4.0,2.0,4,25.0,7.0
Roma,9.0,23.0,14.0,4.0,2.0,5,25.0,7.0
Atalanta,10.0,31.0,21.0,4.0,3.0,6,22.0,6.0
Napoli,6.0,22.0,16.0,5.0,3.0,7,20.0,5.0
Parma,3.0,20.0,17.0,3.0,5.0,8,18.0,5.0
Verona,0.0,11.0,11.0,3.0,5.0,9,18.0,5.0
Sassuolo,1.0,24.0,23.0,1.0,7.0,10,16.0,5.0
Fiorentina,-2.0,18.0,20.0,4.0,5.0,11,16.0,4.0
Torino,-5.0,15.0,20.0,2.0,7.0,12,14.0,4.0
Milan,-5.0,12.0,17.0,2.0,7.0,13,14.0,4.0
Udinese,-11.0,9.0,20.0,2.0,7.0,14,14.0,4.0
Bologna,-4.0,18.0,22.0,4.0,6.0,15,13.0,3.0
Sampdoria,-11.0,9.0,20.0,3.0,7.0,16,12.0,3.0
Lecce,-10.0,17.0,27.0,5.0,6.0,17,11.0,2.0
Genoa,-12.0,15.0,27.0,4.0,7.0,18,10.0,2.0
Spal,-11.0,8.0,19.0,3.0,8.0,19,9.0,2.0
Brescia,-15.0,10.0,25.0,1.0,10.0,20,7.0,2.0
