Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,11.0,20.0,9.0,2.0,0.0,1,32.0,10.0
Inter,14.0,26.0,12.0,1.0,1.0,2,31.0,10.0
Lazio,15.0,28.0,13.0,3.0,2.0,3,24.0,7.0
Cagliari,11.0,23.0,12.0,3.0,2.0,4,24.0,7.0
Atalanta,12.0,30.0,18.0,4.0,2.0,5,22.0,6.0
Roma,6.0,20.0,14.0,4.0,2.0,6,22.0,6.0
Napoli,6.0,21.0,15.0,4.0,3.0,7,19.0,5.0
Parma,3.0,18.0,15.0,2.0,5.0,8,17.0,5.0
Sassuolo,2.0,23.0,21.0,1.0,6.0,9,16.0,5.0
Fiorentina,-1.0,18.0,19.0,4.0,4.0,10,16.0,4.0
Verona,-1.0,10.0,11.0,3.0,5.0,11,15.0,4.0
Torino,-2.0,15.0,17.0,2.0,6.0,12,14.0,4.0
Udinese,-10.0,8.0,18.0,2.0,6.0,13,14.0,4.0
Milan,-5.0,11.0,16.0,1.0,7.0,14,13.0,4.0
Bologna,-4.0,16.0,20.0,3.0,6.0,15,12.0,3.0
Lecce,-10.0,15.0,25.0,4.0,6.0,16,10.0,2.0
Genoa,-12.0,14.0,26.0,3.0,7.0,17,9.0,2.0
Sampdoria,-12.0,7.0,19.0,3.0,7.0,18,9.0,2.0
Spal,-11.0,7.0,18.0,2.0,8.0,19,8.0,2.0
Brescia,-12.0,10.0,22.0,1.0,9.0,20,7.0,2.0
