Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Juventus,20.0,39.0,19.0,3.0,1.0,1,51.0,16.0
Inter,24.0,41.0,17.0,5.0,1.0,2,47.0,14.0
Lazio,28.0,46.0,18.0,4.0,2.0,3,46.0,14.0
Roma,15.0,37.0,22.0,5.0,4.0,4,38.0,11.0
Atalanta,22.0,50.0,28.0,5.0,5.0,5,35.0,10.0
Cagliari,4.0,35.0,31.0,6.0,6.0,6,30.0,8.0
Parma,0.0,27.0,27.0,4.0,8.0,7,28.0,8.0
Milan,-5.0,21.0,26.0,4.0,8.0,8,28.0,8.0
Verona,0.0,22.0,22.0,6.0,7.0,9,27.0,7.0
Torino,-2.0,26.0,28.0,3.0,9.0,10,27.0,8.0
Napoli,0.0,28.0,28.0,6.0,8.0,11,24.0,6.0
Bologna,-3.0,29.0,32.0,6.0,8.0,12,24.0,6.0
Fiorentina,-4.0,25.0,29.0,6.0,8.0,13,24.0,6.0
Udinese,-12.0,19.0,31.0,3.0,10.0,14,24.0,7.0
Sassuolo,-3.0,32.0,35.0,4.0,10.0,15,22.0,6.0
Sampdoria,-13.0,20.0,33.0,4.0,11.0,16,19.0,5.0
Lecce,-16.0,23.0,39.0,7.0,10.0,17,16.0,3.0
Spal,-16.0,14.0,30.0,3.0,13.0,18,15.0,4.0
Brescia,-19.0,19.0,38.0,3.0,13.0,19,15.0,4.0
Genoa,-20.0,21.0,41.0,5.0,12.0,20,14.0,3.0
