,0,1,2,3,4
Genoa-Juventus,0.3154945356763859,0.226963327821099,0.1355071612851726,0.1626630877650443,0.1593718874523118
Lecce-Frosinone,0.147763374795597,0.2044418813592572,0.2152657467538049,0.2218222651015632,0.2107067319897808
Napoli-Cagliari,0.1637890498024748,0.1763524223350661,0.2392825933670064,0.2067009189579786,0.2138750155374839
Torino-Empoli,0.142849866038131,0.1644306015637124,0.2612560018898204,0.2164961167459441,0.2149674137623917
Milan-Monza,0.2499749300593042,0.2170082509265114,0.1647889001826505,0.1823600097556295,0.1858679090758987
Fiorentina-Verona,0.2088810188994351,0.1903727052327775,0.1989010550893372,0.204473590878187,0.1973716299002648
Udinese-Sassuolo,0.1250312176349427,0.1533574865773626,0.2762326311767356,0.2164673112008476,0.2289113534101043
Bologna-Roma,0.1719799776760563,0.1835156432830336,0.2299615841257204,0.2153331575533991,0.1992096373617804
Lazio-Inter,0.2160072657237627,0.2047458443765044,0.1863290933934522,0.2118597820064532,0.1810580144998295
Atalanta-Salernitana,0.164248329572632,0.1788659241717516,0.2221972382753162,0.2147356811528791,0.2199528268274082
