Partita,GG,NG
Genoa-Juventus,0.5054086039470982,0.4945913960529017
Lecce-Frosinone,0.5646229901422382,0.4353770098577618
Napoli-Cagliari,0.5777050574484707,0.4222949425515293
Torino-Empoli,0.2202842544231238,0.7797157455768762
Milan-Monza,0.2403031588932467,0.7596968411067533
Fiorentina-Verona,0.3459425920301808,0.6540574079698191
Udinese-Sassuolo,0.564203254268056,0.4357967457319441
Bologna-Roma,0.3847693232629201,0.6152306767370799
Lazio-Inter,0.6178583195572409,0.3821416804427591
Atalanta-Salernitana,0.5433498177453828,0.4566501822546171
