,0,1,2,3,4
Genoa-Juventus,0.1528565570830811,0.1423840097839963,0.2247897475050024,0.2351712826991032,0.2447984029288271
Lecce-Frosinone,0.2832596454981301,0.2347885020292266,0.1643853950793539,0.155345312205395,0.1622211451879025
Napoli-Cagliari,0.2140201172143839,0.2527410197712911,0.173390102469455,0.1760675921231657,0.1837811684216966
Torino-Empoli,0.2432238148137901,0.2534373611882824,0.1636490523379382,0.1761454504132387,0.1635443212467414
Milan-Monza,0.2091165700291033,0.1907351052839536,0.2007253005362108,0.2011694997786962,0.1982535243720379
Fiorentina-Verona,0.2208554994543409,0.1701139118165348,0.1993871920421591,0.2101954154814965,0.1994479812054702
Udinese-Sassuolo,0.252890334372771,0.2570835634611427,0.1694886932573215,0.16186414338139,0.1586732655273651
Bologna-Roma,0.2532729721311772,0.2562595297975941,0.1649270315738028,0.1549677739458441,0.1705726925515724
Lazio-Inter,0.216468906996414,0.1813211874689024,0.2018826270854754,0.2045585698889109,0.1957687085602884
Atalanta-Salernitana,0.2131738060369686,0.2199172150162185,0.1864210491140323,0.1918475413164416,0.188640388516331
