,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
319,Torino-Roma,0.0,2.0,0.0,1.0,1.0,16.0,2.0,2.0,1.0,2.0,2.0,5.0,1.194444444444444,1.777777777777778,1.972222222222222,1.333333333333333,1.064208477009877,1.551241182521018,1.482972133658063,0.9856107606091625,1.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,0.0,1.0,2.0,1.0,1.0,2 , 3
320,Brescia-Sampdoria,0.0,2.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,0.0,0.0,15.0,0.918918918918919,2.108108108108108,1.27027027027027,1.72972972972973,0.8292693697995168,1.541712319752578,1.193702192728541,1.465314692189752,2.0,2.0,1.0,1.0,0.0,6.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,1 , 1
321,Milan-Cagliari,2.0,2.0,2.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,2.0,13.0,1.621621621621622,1.243243243243243,1.405405405405405,1.432432432432432,1.276961483612811,1.16441223621871,1.300842877595981,1.041914384959525,3.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,3 , 0
322,Atalanta-Inter,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.648648648648649,1.243243243243243,2.135135135135135,0.972972972972973,1.85915476936603,0.9546786953794515,1.31576260443563,0.8971091376219533,6.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0 , 2
323,Napoli-Lazio,1.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0,2.0,2.0,2.0,4.0,1.567567567567568,1.324324324324324,2.108108108108108,1.054054054054054,1.119040773275153,0.9733691218892488,1.369991560877977,0.9112246322012648,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,3 , 1
324,Juventus-Roma,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,2.027027027027027,1.081081081081081,2.0,1.351351351351351,1.013423419419063,1.037582081850191,1.471960144387974,0.9779859183323942,3.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1 , 3
325,Spal-Fiorentina,0.0,0.0,0.0,1.0,0.0,20.0,2.0,2.0,1.0,0.0,2.0,10.0,0.7027027027027027,2.0,1.297297297297297,1.27027027027027,0.701778093482899,1.312334645668635,1.175321820345977,1.261582970553896,0.0,1.0,1.0,1.0,0.0,4.0,2.0,6.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,1 , 3
326,Genoa-Verona,0.0,2.0,2.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,2.0,9.0,1.189189189189189,1.972972972972973,1.27027027027027,1.297297297297297,0.9380191255405615,1.404090976921179,0.9617301726185598,1.151445103261908,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,0.0,3 , 0
327,Lecce-Parma,0.0,0.0,2.0,0.0,2.0,18.0,0.0,0.0,2.0,2.0,0.0,11.0,1.324324324324324,2.189189189189189,1.405405405405405,1.459459459459459,1.05551604161856,1.506243263476643,1.141623100372143,1.069646738014072,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,3 , 4
328,Bologna-Torino,1.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,16.0,1.378378378378378,1.72972972972973,1.216216216216216,1.810810810810811,1.036858271450382,1.044792606975945,1.057647681706256,1.542685930408351,1.0,1.0,0.0,3.0,0.0,1.0,5.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,1 , 1
329,Sassuolo-Udinese,1.0,1.0,0.0,0.0,2.0,8.0,1.0,0.0,2.0,2.0,0.0,14.0,1.864864864864865,1.675675675675676,0.972972972972973,1.378378378378378,1.31576260443563,1.225970229248248,0.9275561224855133,1.51568377219567,3.0,1.0,1.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0 , 1
330,Crotone-Atalanta,0.0,0.0,0.0,1.0,0.0,20.0,2.0,2.0,2.0,0.0,0.0,6.0,1.0,3.0,3.0,2.4,0.7071067811865476,1.414213562373095,1.870828693386971,1.140175425099138,1.0,0.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1 , 2
