,0,1,2,3,Mgf,Sgf,Mgs,Sgs
Milan,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Frosinone,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Lecce,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Monza,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Fiorentina,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Lazio,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Salernitana,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Genoa,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
Verona,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Juventus,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Udinese,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Atalanta,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Inter,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Torino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Roma,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Empoli,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Napoli,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Sassuolo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
