,0,1,2,3,Mgf,Sgf,Mgs,Sgs
Milan,0.0,0.0,0.0,0.0,1.6363636363636365,1.2060453783110545,1.0909090909090908,1.4459976109624426
Frosinone,0.0,0.0,0.0,0.0,1.5454545454545454,1.2135597524338357,1.6363636363636365,1.12006493318265
Lecce,0.0,0.0,0.0,0.0,1.0,0.7745966692414834,1.2727272727272727,1.1037127426019047
Monza,0.0,0.0,0.0,0.0,1.0909090909090908,1.1361818036340359,0.9090909090909091,0.9438798074485388
Fiorentina,0.0,0.0,0.0,0.0,1.6363636363636365,1.5015143870590966,1.3636363636363635,1.12006493318265
Lazio,0.0,0.0,0.0,0.0,1.1818181818181819,0.9816498172140428,1.1818181818181819,0.9816498172140429
Salernitana,0.0,0.0,0.0,0.0,0.5454545454545454,0.8201995322647243,2.0,1.0
Genoa,0.0,0.0,0.0,0.0,1.0909090909090908,1.2210278829367864,1.4545454545454546,1.1281521496355325
Verona,0.0,0.0,0.0,0.0,0.6363636363636364,0.6741998624632421,1.3636363636363635,1.2060453783110545
Juventus,0.0,0.0,0.0,0.0,1.5454545454545454,0.9341987329938275,0.5454545454545454,1.2135597524338357
Udinese,0.0,0.0,0.0,0.0,0.6363636363636364,0.674199862463242,1.2727272727272727,1.3483997249264843
Atalanta,0.0,0.0,0.0,0.0,1.7272727272727273,0.904534033733291,0.9090909090909091,1.300349603340998
Inter,0.0,0.0,0.0,0.0,2.4545454545454546,1.3684762594679063,0.5454545454545454,0.8201995322647243
Torino,0.0,0.0,0.0,0.0,0.8181818181818182,0.9816498172140428,1.1818181818181819,1.4012980994907414
Cagliari,0.0,0.0,0.0,0.0,1.0,1.2649110640673518,2.0,1.2649110640673518
Bologna,0.0,0.0,0.0,0.0,1.0909090909090908,1.044465935734187,0.7272727272727273,0.7862453931068966
Roma,0.0,0.0,0.0,0.0,2.0,1.9493588689617927,1.2727272727272727,1.1908743922772957
Empoli,0.0,0.0,0.0,0.0,0.36363636363636365,0.674199862463242,1.9090909090909092,2.0225995873897262
Napoli,0.0,0.0,0.0,0.0,2.1818181818181817,1.2504544628399563,1.0909090909090908,1.044465935734187
Sassuolo,0.0,0.0,0.0,0.0,1.2727272727272727,1.3483997249264843,1.7272727272727273,0.9045340337332908
