,0,1,2,3,Mgf,Sgf,Mgs,Sgs
Milan,0.0,0.0,0.0,0.0,3.0,1.4142135623730951,0.5,0.7071067811865476
Frosinone,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,1.4142135623730951
Lecce,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.7071067811865476
Monza,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951
Fiorentina,0.0,0.0,0.0,0.0,3.0,1.4142135623730951,1.5,0.7071067811865476
Lazio,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,1.5,0.7071067811865476
Salernitana,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,1.5,0.7071067811865476
Genoa,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.8284271247461903
Verona,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476
Juventus,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,0.5,0.7071067811865476
Udinese,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,2.0,1.4142135623730951
Atalanta,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,1.0,1.4142135623730951
Inter,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Torino,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,2.0,2.8284271247461903
Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951
Bologna,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,1.5,0.7071067811865476
Roma,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,0.0
Empoli,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7071067811865476
Napoli,0.0,0.0,0.0,0.0,2.5,0.7071067811865476,0.5,0.7071067811865476
Sassuolo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
