,0,1,2,3,Mgf,Sgf,Mgs,Sgs
Milan,0.0,0.0,0.0,0.0,1.7777777777777777,1.0602749674192764,1.1111111111111112,1.323493100445977
Frosinone,0.0,0.0,0.0,0.0,1.2777777777777777,1.0740552924509192,1.7222222222222223,1.0740552924509195
Lecce,0.0,0.0,0.0,0.0,1.0555555555555556,0.802365782965103,1.3333333333333333,0.9074852129730301
Monza,0.0,0.0,0.0,0.0,0.8888888888888888,0.9633818428657448,1.0,0.9701425001453319
Fiorentina,0.0,0.0,0.0,0.0,1.5,1.2947859237091257,1.0,1.0289915108550531
Lazio,0.0,0.0,0.0,0.0,1.1666666666666667,0.985184366143778,1.0555555555555556,0.9375953110592339
Salernitana,0.0,0.0,0.0,0.0,0.8333333333333334,0.8574929257125442,2.0,1.0846522890932808
Genoa,0.0,0.0,0.0,0.0,1.0555555555555556,0.9983646759294876,1.2777777777777777,0.9582800496695998
Verona,0.0,0.0,0.0,0.0,0.8333333333333334,0.9235481451827989,1.3333333333333333,1.0846522890932808
Juventus,0.0,0.0,0.0,0.0,1.5,0.7859052479933758,0.6111111111111112,0.9785276387866012
Udinese,0.0,0.0,0.0,0.0,1.0,0.9701425001453319,1.5555555555555556,1.381483525788905
Atalanta,0.0,0.0,0.0,0.0,1.6111111111111112,1.1447521637192346,1.1111111111111112,1.1826634392157036
Inter,0.0,0.0,0.0,0.0,2.3333333333333335,1.2366938848016846,0.4444444444444444,0.7047921864945659
Torino,0.0,0.0,0.0,0.0,0.8333333333333334,0.9851843661437781,1.0,1.1881770515720091
Cagliari,0.0,0.0,0.0,0.0,0.8888888888888888,1.078609610939221,1.7222222222222223,1.1274936053323583
Bologna,0.0,0.0,0.0,0.0,1.1666666666666667,0.923548145182799,0.8333333333333334,0.9235481451827989
Roma,0.0,0.0,0.0,0.0,1.6666666666666667,1.7149858514250884,1.1111111111111112,1.0226199851298272
Empoli,0.0,0.0,0.0,0.0,0.5555555555555556,0.8555852638929974,1.6666666666666667,1.7822655773580136
Napoli,0.0,0.0,0.0,0.0,1.5555555555555556,1.381483525788905,1.1666666666666667,0.9851843661437781
Sassuolo,0.0,0.0,0.0,0.0,1.3888888888888888,1.2897281468629183,1.8333333333333333,0.7859052479933759
