Squadra,Mgf,Sgf,Mgs,Sgs
Inter,2.6,1.429840705968481,1.4,0.9660917830792959
Atalanta,1.9,1.7919573407620817,1.7,1.1595018087284057
Genoa,0.9,1.1972189997378648,1.9,1.66332999331662
Juventus,1.9,0.9944289260117531,0.9,0.5676462121975467
Verona,1.3,1.1595018087284057,0.8,0.7888106377466155
Milan,2.3,0.48304589153964794,0.9,0.9944289260117534
Napoli,2.5,1.90029237516523,0.9,1.1005049346146119
Spezia,1.4,0.9660917830792959,1.9,1.523883926754995
Fiorentina,1.1,1.1972189997378648,1.6,1.1737877907772674
Cagliari,1.7,1.2516655570345725,2.0,1.3333333333333333
Sassuolo,2.0,1.699673171197595,1.2,1.3165611772087666
Torino,1.7,1.0593499054713802,2.4,1.4298407059684812
Bologna,1.5,1.4337208778404378,1.7,1.1595018087284057
Parma,1.0,0.9428090415820634,1.7,1.4181364924121764
Udinese,1.1,1.1972189997378648,1.3,0.9486832980505138
Benevento,1.2,0.9189365834726815,2.1,1.9119507199599983
Crotone,0.6,0.6992058987801011,2.4,1.5055453054181622
Lazio,1.6,1.07496769977314,1.7,1.4181364924121764
Roma,1.9,1.66332999331662,1.5,1.509230856356236
Sampdoria,1.5,1.0801234497346435,1.7,0.9486832980505138
