,0,1,2,3,4
Genoa-Juventus,0.15285655708308113,0.14238400978399637,0.22478974750500244,0.23517128269910323,0.24479840292882718
Lecce-Frosinone,0.28325964549813015,0.23478850202922666,0.16438539507935399,0.15534531220539505,0.1622211451879025
Napoli-Cagliari,0.21402011721438394,0.2527410197712911,0.17339010246945502,0.17606759212316572,0.1837811684216966
Torino-Empoli,0.24322381481379013,0.2534373611882824,0.1636490523379382,0.17614545041323879,0.16354432124674148
Milan-Monza,0.2091165700291033,0.19073510528395365,0.2007253005362108,0.20116949977869628,0.19825352437203791
Fiorentina-Verona,0.22085549945434094,0.1701139118165348,0.19938719204215913,0.21019541548149653,0.19944798120547028
Udinese-Sassuolo,0.25289033437277103,0.25708356346114275,0.16948869325732155,0.16186414338139002,0.1586732655273651
Bologna-Roma,0.2532729721311772,0.25625952979759414,0.1649270315738028,0.15496777394584413,0.17057269255157242
Lazio-Inter,0.21646890699641405,0.18132118746890247,0.20188262708547544,0.20455856988891094,0.19576870856028847
Atalanta-Salernitana,0.21317380603696862,0.21991721501621858,0.1864210491140323,0.19184754131644163,0.188640388516331
0,,,,,
Genoa-Juventus,0.31549453567638597,0.22696332782109907,0.1355071612851726,0.1626630877650443,0.15937188745231187
Lecce-Frosinone,0.147763374795597,0.2044418813592572,0.2152657467538049,0.2218222651015632,0.21070673198978085
Napoli-Cagliari,0.16378904980247483,0.1763524223350661,0.2392825933670064,0.20670091895797868,0.21387501553748395
Torino-Empoli,0.142849866038131,0.16443060156371242,0.2612560018898204,0.2164961167459441,0.21496741376239173
Milan-Monza,0.24997493005930424,0.2170082509265114,0.16478890018265052,0.18236000975562952,0.1858679090758987
Fiorentina-Verona,0.20888101889943517,0.1903727052327775,0.19890105508933725,0.20447359087818703,0.19737162990026486
Udinese-Sassuolo,0.12503121763494277,0.15335748657736264,0.2762326311767356,0.21646731120084767,0.2289113534101043
Bologna-Roma,0.17197997767605636,0.18351564328303366,0.22996158412572046,0.21533315755339918,0.1992096373617804
Lazio-Inter,0.21600726572376278,0.2047458443765044,0.18632909339345222,0.21185978200645325,0.18105801449982958
Atalanta-Salernitana,0.16424832957263205,0.17886592417175165,0.22219723827531623,0.21473568115287914,0.21995282682740827
