Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,41.0,56.0,15.0,2.0,1,62.0,1.0,20.0
Juventus,19.0,36.0,17.0,5.0,2,47.0,4.0,14.0
Inter,17.0,44.0,27.0,2.0,3,47.0,6.0,15.0
Roma,11.0,30.0,19.0,5.0,4,44.0,5.0,13.0
Milan,9.0,39.0,30.0,5.0,5,44.0,5.0,13.0
Lazio,20.0,39.0,19.0,6.0,6,42.0,5.0,12.0
Atalanta,16.0,42.0,26.0,5.0,7,41.0,6.0,12.0
Bologna,-3.0,30.0,33.0,5.0,8,32.0,9.0,9.0
Torino,-1.0,24.0,25.0,7.0,9,31.0,8.0,8.0
Udinese,3.0,31.0,28.0,9.0,10,30.0,7.0,7.0
Monza,-3.0,28.0,31.0,5.0,11,29.0,10.0,8.0
Empoli,-7.0,22.0,29.0,10.0,12,28.0,7.0,6.0
Lecce,-2.0,24.0,26.0,9.0,13,27.0,8.0,6.0
Fiorentina,-6.0,24.0,30.0,7.0,14,25.0,10.0,6.0
Sassuolo,-9.0,26.0,35.0,6.0,15,24.0,11.0,6.0
Salernitana,-19.0,25.0,44.0,6.0,16,21.0,12.0,5.0
Spezia,-20.0,19.0,39.0,7.0,17,19.0,12.0,4.0
Verona,-14.0,20.0,34.0,5.0,18,17.0,14.0,4.0
Sampdoria,-27.0,11.0,38.0,5.0,19,11.0,16.0,2.0
Cremonese,-25.0,17.0,42.0,9.0,20,9.0,14.0,0.0
