squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,47.0,70.0,23.0,5.0,1,83.0,3.0,26.0
Juventus,24.0,52.0,28.0,6.0,2,66.0,8.0,20.0
Lazio,26.0,52.0,26.0,7.0,3,64.0,8.0,19.0
Inter,27.0,62.0,35.0,3.0,4,63.0,11.0,20.0
Milan,16.0,55.0,39.0,10.0,5,61.0,7.0,17.0
Atalanta,15.0,56.0,41.0,7.0,6,58.0,10.0,17.0
Roma,12.0,45.0,33.0,7.0,7,58.0,10.0,17.0
Fiorentina,5.0,45.0,40.0,10.0,8,46.0,12.0,12.0
Udinese,4.0,45.0,41.0,13.0,9,46.0,10.0,11.0
Bologna,-1.0,43.0,44.0,10.0,10,46.0,12.0,12.0
Monza,-3.0,42.0,45.0,10.0,11,46.0,12.0,12.0
Torino,-3.0,36.0,39.0,10.0,12,46.0,12.0,12.0
Sassuolo,-9.0,41.0,50.0,8.0,13,44.0,14.0,12.0
Empoli,-13.0,31.0,44.0,11.0,14,38.0,14.0,9.0
Salernitana,-14.0,42.0,56.0,14.0,15,35.0,13.0,7.0
Lecce,-13.0,28.0,41.0,10.0,16,31.0,17.0,7.0
Verona,-23.0,28.0,51.0,9.0,17,30.0,18.0,7.0
Spezia,-28.0,28.0,56.0,12.0,18,27.0,17.0,5.0
Cremonese,-28.0,31.0,59.0,12.0,19,24.0,18.0,4.0
Sampdoria,-41.0,20.0,61.0,8.0,20,17.0,23.0,3.0
