squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,45.0,66.0,21.0,2.0,1,74.0,3.0,24.0
Juventus,23.0,47.0,24.0,5.0,2,59.0,6.0,18.0
Lazio,26.0,46.0,20.0,7.0,3,58.0,5.0,17.0
Roma,13.0,39.0,26.0,5.0,4,53.0,8.0,16.0
Milan,12.0,48.0,36.0,7.0,5,52.0,7.0,15.0
Inter,15.0,48.0,33.0,3.0,6,51.0,10.0,16.0
Atalanta,13.0,47.0,34.0,6.0,7,48.0,9.0,14.0
Bologna,2.0,38.0,36.0,7.0,8,43.0,10.0,12.0
Fiorentina,2.0,34.0,32.0,8.0,9,41.0,10.0,11.0
Udinese,3.0,39.0,36.0,12.0,10,39.0,8.0,9.0
Torino,-5.0,30.0,35.0,8.0,11,38.0,11.0,10.0
Sassuolo,-6.0,37.0,43.0,7.0,12,37.0,12.0,10.0
Monza,-7.0,34.0,41.0,8.0,13,35.0,12.0,9.0
Empoli,-11.0,25.0,36.0,11.0,14,32.0,11.0,7.0
Salernitana,-16.0,33.0,49.0,11.0,15,29.0,12.0,6.0
Lecce,-10.0,25.0,35.0,9.0,16,27.0,14.0,6.0
Spezia,-20.0,25.0,45.0,11.0,17,26.0,13.0,5.0
Verona,-19.0,24.0,43.0,7.0,18,22.0,17.0,5.0
Cremonese,-28.0,26.0,54.0,10.0,19,16.0,17.0,2.0
Sampdoria,-32.0,18.0,50.0,6.0,20,15.0,20.0,3.0
