Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,7.0,9.0,2.0,1.0,1,7.0,0.0,2.0
Milan,4.0,7.0,3.0,1.0,2,7.0,0.0,2.0
Lazio,3.0,5.0,2.0,1.0,3,7.0,0.0,2.0
Atalanta,3.0,4.0,1.0,1.0,4,7.0,0.0,2.0
Torino,2.0,4.0,2.0,1.0,5,7.0,0.0,2.0
Roma,2.0,3.0,1.0,1.0,6,7.0,0.0,2.0
Inter,2.0,6.0,4.0,0.0,7,6.0,1.0,2.0
Juventus,3.0,4.0,1.0,2.0,8,5.0,0.0,1.0
Fiorentina,1.0,3.0,2.0,2.0,9,5.0,0.0,1.0
Salernitana,3.0,4.0,1.0,1.0,10,4.0,1.0,1.0
Udinese,-1.0,4.0,5.0,1.0,11,4.0,1.0,1.0
Sassuolo,-2.0,3.0,5.0,1.0,12,4.0,1.0,1.0
Spezia,-2.0,3.0,5.0,1.0,13,4.0,1.0,1.0
Empoli,-1.0,1.0,2.0,2.0,14,2.0,1.0,0.0
Lecce,-2.0,2.0,4.0,1.0,15,1.0,2.0,0.0
Bologna,-3.0,2.0,5.0,1.0,16,1.0,2.0,0.0
Verona,-4.0,3.0,7.0,1.0,17,1.0,2.0,0.0
Sampdoria,-6.0,0.0,6.0,1.0,18,1.0,2.0,0.0
Cremonese,-3.0,3.0,6.0,0.0,19,0.0,3.0,0.0
Monza,-6.0,2.0,8.0,0.0,20,0.0,3.0,0.0
