Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,46.0,69.0,23.0,5.0,1,80.0,3.0,25.0
Lazio,28.0,52.0,24.0,7.0,2,64.0,7.0,19.0
Juventus,22.0,50.0,28.0,6.0,3,63.0,8.0,19.0
Inter,25.0,60.0,35.0,3.0,4,60.0,11.0,19.0
Atalanta,17.0,56.0,39.0,7.0,5,58.0,9.0,17.0
Milan,14.0,53.0,39.0,10.0,6,58.0,7.0,16.0
Roma,14.0,45.0,31.0,7.0,7,58.0,9.0,17.0
Fiorentina,6.0,45.0,39.0,10.0,8,46.0,11.0,12.0
Bologna,-1.0,42.0,43.0,9.0,9,45.0,12.0,12.0
Monza,-3.0,41.0,44.0,9.0,10,45.0,12.0,12.0
Torino,-3.0,35.0,38.0,9.0,11,45.0,12.0,12.0
Udinese,2.0,43.0,41.0,13.0,12,43.0,10.0,10.0
Sassuolo,-9.0,40.0,49.0,7.0,13,43.0,14.0,12.0
Salernitana,-13.0,41.0,54.0,14.0,14,35.0,12.0,7.0
Empoli,-14.0,29.0,43.0,11.0,15,35.0,14.0,8.0
Lecce,-12.0,28.0,40.0,10.0,16,31.0,16.0,7.0
Verona,-24.0,27.0,51.0,9.0,17,27.0,18.0,6.0
Spezia,-26.0,28.0,54.0,12.0,18,27.0,16.0,5.0
Cremonese,-30.0,29.0,59.0,12.0,19,21.0,18.0,3.0
Sampdoria,-39.0,20.0,59.0,8.0,20,17.0,22.0,3.0
