squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,46.0,68.0,22.0,4.0,1,79.0,3.0,25.0
Lazio,26.0,50.0,24.0,7.0,2,61.0,7.0,18.0
Juventus,21.0,48.0,27.0,6.0,3,60.0,8.0,18.0
Inter,19.0,54.0,35.0,3.0,4,57.0,11.0,18.0
Milan,14.0,52.0,38.0,9.0,5,57.0,7.0,16.0
Roma,14.0,44.0,30.0,6.0,6,57.0,9.0,17.0
Atalanta,16.0,53.0,37.0,7.0,7,55.0,9.0,16.0
Fiorentina,6.0,42.0,36.0,9.0,8,45.0,11.0,12.0
Bologna,1.0,41.0,40.0,9.0,9,45.0,11.0,12.0
Monza,-3.0,40.0,43.0,8.0,10,44.0,12.0,12.0
Sassuolo,-7.0,40.0,47.0,7.0,11,43.0,13.0,12.0
Udinese,2.0,42.0,40.0,12.0,12,42.0,10.0,10.0
Torino,-5.0,33.0,38.0,9.0,13,42.0,12.0,11.0
Salernitana,-13.0,38.0,51.0,13.0,14,34.0,12.0,7.0
Empoli,-16.0,26.0,42.0,11.0,15,32.0,14.0,7.0
Lecce,-11.0,27.0,38.0,10.0,16,31.0,15.0,7.0
Verona,-18.0,27.0,45.0,9.0,17,27.0,17.0,6.0
Spezia,-25.0,26.0,51.0,12.0,18,27.0,15.0,5.0
Cremonese,-30.0,28.0,58.0,11.0,19,20.0,18.0,3.0
Sampdoria,-37.0,20.0,57.0,8.0,20,17.0,21.0,3.0
