squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,45.0,66.0,21.0,3.0,1,75.0,3.0,24.0
Lazio,29.0,49.0,20.0,7.0,2,61.0,5.0,18.0
Juventus,22.0,47.0,25.0,5.0,3,59.0,7.0,18.0
Roma,16.0,42.0,26.0,5.0,4,56.0,8.0,17.0
Milan,12.0,49.0,37.0,8.0,5,53.0,7.0,15.0
Inter,14.0,48.0,34.0,3.0,6,51.0,11.0,16.0
Atalanta,13.0,48.0,35.0,7.0,7,49.0,9.0,14.0
Bologna,2.0,39.0,37.0,8.0,8,44.0,10.0,12.0
Fiorentina,2.0,35.0,33.0,9.0,9,42.0,10.0,11.0
Sassuolo,-5.0,38.0,43.0,7.0,10,40.0,12.0,11.0
Udinese,0.0,39.0,39.0,12.0,11,39.0,9.0,9.0
Torino,-5.0,31.0,36.0,9.0,12,39.0,11.0,10.0
Monza,-6.0,35.0,41.0,8.0,13,38.0,12.0,10.0
Empoli,-12.0,25.0,37.0,11.0,14,32.0,12.0,7.0
Salernitana,-16.0,34.0,50.0,12.0,15,30.0,12.0,6.0
Lecce,-10.0,26.0,36.0,10.0,16,28.0,14.0,6.0
Spezia,-23.0,25.0,48.0,11.0,17,26.0,14.0,5.0
Verona,-19.0,24.0,43.0,8.0,18,23.0,17.0,5.0
Cremonese,-27.0,27.0,54.0,10.0,19,19.0,17.0,3.0
Sampdoria,-32.0,19.0,51.0,7.0,20,16.0,20.0,3.0
