Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,16.0,25.0,9.0,2.0,1,26.0,0.0,8.0
Atalanta,10.0,16.0,6.0,3.0,2,24.0,0.0,7.0
Milan,10.0,20.0,10.0,2.0,3,23.0,1.0,7.0
Roma,4.0,13.0,9.0,1.0,4,22.0,2.0,7.0
Lazio,16.0,21.0,5.0,3.0,5,21.0,1.0,6.0
Udinese,9.0,19.0,10.0,3.0,6,21.0,1.0,6.0
Inter,4.0,18.0,14.0,0.0,7,18.0,4.0,6.0
Juventus,6.0,13.0,7.0,4.0,8,16.0,2.0,4.0
Sassuolo,0.0,12.0,12.0,3.0,9,12.0,4.0,3.0
Empoli,-2.0,9.0,11.0,5.0,10,11.0,3.0,2.0
Torino,-4.0,8.0,12.0,2.0,11,11.0,5.0,3.0
Salernitana,-4.0,12.0,16.0,4.0,12,10.0,4.0,2.0
Fiorentina,-4.0,8.0,12.0,4.0,13,10.0,4.0,2.0
Monza,-6.0,9.0,15.0,1.0,14,10.0,6.0,3.0
Spezia,-10.0,9.0,19.0,3.0,15,9.0,5.0,2.0
Lecce,-3.0,9.0,12.0,5.0,16,8.0,4.0,1.0
Bologna,-7.0,10.0,17.0,4.0,17,7.0,5.0,1.0
Verona,-10.0,9.0,19.0,2.0,18,5.0,7.0,1.0
Cremonese,-12.0,9.0,21.0,4.0,19,4.0,6.0,0.0
Sampdoria,-13.0,5.0,18.0,3.0,20,3.0,7.0,0.0
