Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,9.0,13.0,4.0,2.0,1,14.0,0.0,4.0
Atalanta,7.0,10.0,3.0,2.0,2,14.0,0.0,4.0
Milan,6.0,12.0,6.0,2.0,3,14.0,0.0,4.0
Udinese,6.0,12.0,6.0,1.0,4,13.0,1.0,4.0
Roma,2.0,8.0,6.0,1.0,5,13.0,1.0,4.0
Inter,4.0,12.0,8.0,0.0,6,12.0,2.0,4.0
Lazio,4.0,9.0,5.0,2.0,7,11.0,1.0,3.0
Juventus,5.0,9.0,4.0,4.0,8,10.0,0.0,2.0
Torino,0.0,6.0,6.0,1.0,9,10.0,2.0,3.0
Salernitana,3.0,9.0,6.0,4.0,10,7.0,1.0,1.0
Fiorentina,-1.0,5.0,6.0,3.0,11,6.0,2.0,1.0
Bologna,-2.0,7.0,9.0,3.0,12,6.0,2.0,1.0
Sassuolo,-4.0,4.0,8.0,3.0,13,6.0,2.0,1.0
Verona,-5.0,6.0,11.0,2.0,14,5.0,3.0,1.0
Spezia,-5.0,5.0,10.0,2.0,15,5.0,3.0,1.0
Empoli,-2.0,5.0,7.0,4.0,16,4.0,2.0,0.0
Lecce,-3.0,4.0,7.0,3.0,17,3.0,3.0,0.0
Cremonese,-5.0,5.0,10.0,2.0,18,2.0,4.0,0.0
Sampdoria,-8.0,3.0,11.0,2.0,19,2.0,4.0,0.0
Monza,-11.0,3.0,14.0,1.0,20,1.0,5.0,0.0
