squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,22.0,32.0,10.0,2.0,1,35.0,0.0,11.0
Milan,13.0,27.0,14.0,2.0,2,29.0,2.0,9.0
Lazio,17.0,25.0,8.0,3.0,3,27.0,2.0,8.0
Atalanta,9.0,19.0,10.0,3.0,4,27.0,2.0,8.0
Juventus,13.0,20.0,7.0,4.0,5,25.0,2.0,7.0
Roma,4.0,16.0,12.0,1.0,6,25.0,4.0,8.0
Inter,6.0,25.0,19.0,0.0,7,24.0,5.0,8.0
Udinese,8.0,21.0,13.0,5.0,8,23.0,2.0,6.0
Salernitana,-1.0,18.0,19.0,5.0,9,17.0,4.0,4.0
Torino,-3.0,13.0,16.0,2.0,10,17.0,6.0,5.0
Fiorentina,-2.0,15.0,17.0,4.0,11,16.0,5.0,4.0
Bologna,-3.0,16.0,19.0,4.0,12,16.0,5.0,4.0
Sassuolo,-4.0,14.0,18.0,3.0,13,15.0,6.0,4.0
Empoli,-7.0,10.0,17.0,5.0,14,14.0,5.0,3.0
Monza,-8.0,13.0,21.0,1.0,15,13.0,8.0,4.0
Lecce,-6.0,10.0,16.0,6.0,16,9.0,6.0,1.0
Spezia,-13.0,11.0,24.0,3.0,17,9.0,8.0,2.0
Cremonese,-13.0,11.0,24.0,6.0,18,6.0,7.0,0.0
Sampdoria,-17.0,6.0,23.0,3.0,19,6.0,9.0,1.0
Verona,-15.0,11.0,26.0,2.0,20,5.0,10.0,1.0
