Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,43.0,58.0,15.0,2.0,1,65.0,1.0,21.0
Juventus,21.0,40.0,19.0,5.0,2,50.0,4.0,15.0
Inter,16.0,44.0,28.0,2.0,3,47.0,7.0,15.0
Milan,11.0,41.0,30.0,5.0,4,47.0,5.0,14.0
Lazio,21.0,40.0,19.0,6.0,5,45.0,5.0,13.0
Roma,10.0,31.0,21.0,5.0,6,44.0,6.0,13.0
Atalanta,14.0,42.0,28.0,5.0,7,41.0,7.0,12.0
Bologna,-2.0,31.0,33.0,5.0,8,35.0,9.0,10.0
Udinese,3.0,33.0,30.0,10.0,9,31.0,7.0,7.0
Torino,-3.0,26.0,29.0,7.0,10,31.0,9.0,8.0
Monza,-6.0,28.0,34.0,5.0,11,29.0,11.0,8.0
Fiorentina,-3.0,27.0,30.0,7.0,12,28.0,10.0,7.0
Empoli,-9.0,22.0,31.0,10.0,13,28.0,8.0,6.0
Lecce,-3.0,24.0,27.0,9.0,14,27.0,9.0,6.0
Sassuolo,-8.0,27.0,35.0,6.0,15,27.0,11.0,7.0
Salernitana,-16.0,28.0,44.0,6.0,16,24.0,12.0,6.0
Spezia,-20.0,21.0,41.0,8.0,17,20.0,12.0,4.0
Verona,-17.0,20.0,37.0,5.0,18,17.0,15.0,4.0
Cremonese,-24.0,19.0,43.0,9.0,19,12.0,14.0,1.0
Sampdoria,-28.0,11.0,39.0,5.0,20,11.0,17.0,2.0
