Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,25.0,37.0,12.0,2.0,1,41.0,0.0,13.0
Milan,14.0,29.0,15.0,3.0,2,33.0,2.0,10.0
Juventus,17.0,24.0,7.0,4.0,3,31.0,2.0,9.0
Lazio,15.0,26.0,11.0,3.0,4,30.0,3.0,9.0
Inter,12.0,34.0,22.0,0.0,5,30.0,5.0,10.0
Atalanta,7.0,22.0,15.0,3.0,6,27.0,4.0,8.0
Roma,4.0,18.0,14.0,3.0,7,27.0,4.0,8.0
Udinese,7.0,24.0,17.0,6.0,8,24.0,3.0,6.0
Torino,-1.0,16.0,17.0,3.0,9,21.0,6.0,6.0
Fiorentina,-2.0,18.0,20.0,4.0,10,19.0,6.0,5.0
Bologna,-5.0,20.0,25.0,4.0,11,19.0,6.0,5.0
Salernitana,-5.0,19.0,24.0,5.0,12,17.0,6.0,4.0
Empoli,-7.0,12.0,19.0,5.0,13,17.0,6.0,4.0
Monza,-6.0,16.0,22.0,1.0,14,16.0,9.0,5.0
Sassuolo,-7.0,15.0,22.0,4.0,15,16.0,7.0,4.0
Lecce,-3.0,14.0,17.0,6.0,16,15.0,6.0,3.0
Spezia,-12.0,14.0,26.0,4.0,17,13.0,8.0,3.0
Cremonese,-15.0,11.0,26.0,7.0,18,7.0,8.0,0.0
Sampdoria,-21.0,6.0,27.0,3.0,19,6.0,11.0,1.0
Verona,-17.0,12.0,29.0,2.0,20,5.0,12.0,1.0
