Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,46.0,67.0,21.0,3.0,1,78.0,3.0,25.0
Lazio,28.0,49.0,21.0,7.0,2,61.0,6.0,18.0
Juventus,21.0,47.0,26.0,5.0,3,59.0,8.0,18.0
Milan,14.0,51.0,37.0,8.0,4,56.0,7.0,16.0
Roma,14.0,43.0,29.0,5.0,5,56.0,9.0,17.0
Inter,17.0,51.0,34.0,3.0,6,54.0,11.0,17.0
Atalanta,15.0,51.0,36.0,7.0,7,52.0,9.0,15.0
Bologna,1.0,40.0,39.0,8.0,8,44.0,11.0,12.0
Udinese,3.0,42.0,39.0,12.0,9,42.0,9.0,10.0
Fiorentina,1.0,37.0,36.0,9.0,10,42.0,11.0,11.0
Torino,-4.0,32.0,36.0,9.0,11,42.0,11.0,11.0
Monza,-5.0,38.0,43.0,8.0,12,41.0,12.0,11.0
Sassuolo,-8.0,38.0,46.0,7.0,13,40.0,13.0,11.0
Salernitana,-13.0,37.0,50.0,12.0,14,33.0,12.0,7.0
Empoli,-15.0,25.0,40.0,11.0,15,32.0,13.0,7.0
Lecce,-12.0,26.0,38.0,10.0,16,28.0,15.0,6.0
Spezia,-23.0,26.0,49.0,12.0,17,27.0,14.0,5.0
Verona,-18.0,26.0,44.0,8.0,18,26.0,17.0,6.0
Cremonese,-30.0,27.0,57.0,10.0,19,19.0,18.0,3.0
Sampdoria,-32.0,20.0,52.0,8.0,20,17.0,20.0,3.0
