squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,24.0,37.0,13.0,2.0,1,41.0,1.0,13.0
Milan,15.0,31.0,16.0,3.0,2,36.0,2.0,11.0
Juventus,18.0,25.0,7.0,4.0,3,34.0,2.0,10.0
Inter,13.0,35.0,22.0,0.0,4,33.0,5.0,11.0
Lazio,14.0,27.0,13.0,3.0,5,30.0,4.0,9.0
Roma,5.0,19.0,14.0,3.0,6,30.0,4.0,9.0
Atalanta,7.0,24.0,17.0,4.0,7,28.0,4.0,8.0
Udinese,7.0,25.0,18.0,7.0,8,25.0,3.0,6.0
Torino,-1.0,17.0,18.0,4.0,9,22.0,6.0,6.0
Fiorentina,-2.0,19.0,21.0,5.0,10,20.0,6.0,5.0
Bologna,-6.0,20.0,26.0,4.0,11,19.0,7.0,5.0
Lecce,-2.0,16.0,18.0,6.0,12,18.0,6.0,4.0
Empoli,-7.0,13.0,20.0,6.0,13,18.0,6.0,4.0
Salernitana,-6.0,20.0,26.0,5.0,14,17.0,7.0,4.0
Monza,-6.0,17.0,23.0,2.0,15,17.0,9.0,5.0
Sassuolo,-8.0,16.0,24.0,4.0,16,16.0,8.0,4.0
Spezia,-12.0,16.0,28.0,5.0,17,14.0,8.0,3.0
Sampdoria,-20.0,8.0,28.0,3.0,18,9.0,11.0,2.0
Cremonese,-16.0,11.0,27.0,7.0,19,7.0,9.0,0.0
Verona,-17.0,13.0,30.0,3.0,20,6.0,12.0,1.0
