Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,10.0,15.0,5.0,2.0,1,17.0,0.0,5.0
Atalanta,8.0,11.0,3.0,2.0,2,17.0,0.0,5.0
Udinese,8.0,15.0,7.0,1.0,3,16.0,1.0,5.0
Lazio,8.0,13.0,5.0,2.0,4,14.0,1.0,4.0
Milan,5.0,13.0,8.0,2.0,5,14.0,1.0,4.0
Roma,1.0,8.0,7.0,1.0,6,13.0,2.0,4.0
Inter,2.0,13.0,11.0,0.0,7,12.0,3.0,4.0
Juventus,4.0,9.0,5.0,4.0,8,10.0,1.0,2.0
Torino,-1.0,6.0,7.0,1.0,9,10.0,3.0,3.0
Fiorentina,1.0,7.0,6.0,3.0,10,9.0,2.0,2.0
Sassuolo,-3.0,5.0,8.0,3.0,11,9.0,2.0,2.0
Spezia,-4.0,7.0,11.0,2.0,12,8.0,3.0,2.0
Salernitana,2.0,10.0,8.0,4.0,13,7.0,2.0,1.0
Empoli,-1.0,6.0,7.0,4.0,14,7.0,2.0,1.0
Lecce,-2.0,6.0,8.0,3.0,15,6.0,3.0,1.0
Bologna,-3.0,7.0,10.0,3.0,16,6.0,3.0,1.0
Verona,-7.0,6.0,13.0,2.0,17,5.0,4.0,1.0
Monza,-10.0,4.0,14.0,1.0,18,4.0,5.0,1.0
Cremonese,-9.0,5.0,14.0,2.0,19,2.0,5.0,0.0
Sampdoria,-9.0,4.0,13.0,2.0,20,2.0,5.0,0.0
