Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,49.0,77.0,28.0,6.0,1,90.0,4.0,28.0
Lazio,30.0,60.0,30.0,8.0,2,74.0,8.0,22.0
Inter,29.0,71.0,42.0,3.0,3,72.0,12.0,23.0
Juventus,23.0,56.0,33.0,6.0,4,72.0,10.0,22.0
Milan,21.0,64.0,43.0,10.0,5,70.0,8.0,20.0
Atalanta,18.0,66.0,48.0,7.0,6,64.0,12.0,19.0
Roma,12.0,50.0,38.0,9.0,7,63.0,11.0,18.0
Fiorentina,10.0,53.0,43.0,11.0,8,56.0,12.0,15.0
Bologna,4.0,53.0,49.0,12.0,9,54.0,12.0,14.0
Torino,1.0,42.0,41.0,11.0,10,53.0,13.0,14.0
Monza,-4.0,48.0,52.0,10.0,11,52.0,14.0,14.0
Udinese,-1.0,47.0,48.0,13.0,12,46.0,14.0,11.0
Sassuolo,-14.0,47.0,61.0,9.0,13,45.0,17.0,12.0
Empoli,-12.0,37.0,49.0,13.0,14,43.0,15.0,10.0
Salernitana,-14.0,48.0,62.0,15.0,15,42.0,14.0,9.0
Lecce,-13.0,33.0,46.0,12.0,16,36.0,18.0,8.0
Verona,-28.0,31.0,59.0,10.0,17,31.0,21.0,7.0
Spezia,-31.0,31.0,62.0,13.0,18,31.0,19.0,6.0
Cremonese,-33.0,36.0,69.0,12.0,19,27.0,21.0,5.0
Sampdoria,-47.0,24.0,71.0,10.0,20,19.0,25.0,3.0
