squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Atalanta,7.0,9.0,2.0,1.0,1,13.0,0.0,4.0
Napoli,8.0,12.0,4.0,2.0,2,11.0,0.0,3.0
Milan,5.0,10.0,5.0,2.0,3,11.0,0.0,3.0
Udinese,4.0,9.0,5.0,1.0,4,10.0,1.0,3.0
Roma,1.0,6.0,5.0,1.0,5,10.0,1.0,3.0
Torino,1.0,6.0,5.0,1.0,6,10.0,1.0,3.0
Juventus,5.0,7.0,2.0,3.0,7,9.0,0.0,2.0
Inter,3.0,11.0,8.0,0.0,8,9.0,2.0,3.0
Lazio,2.0,7.0,5.0,2.0,9,8.0,1.0,2.0
Salernitana,3.0,7.0,4.0,3.0,10,6.0,1.0,1.0
Fiorentina,0.0,4.0,4.0,3.0,11,6.0,1.0,1.0
Sassuolo,-2.0,3.0,5.0,3.0,12,6.0,1.0,1.0
Verona,-3.0,6.0,9.0,2.0,13,5.0,2.0,1.0
Spezia,-4.0,5.0,9.0,2.0,14,5.0,2.0,1.0
Empoli,-1.0,4.0,5.0,4.0,15,4.0,1.0,0.0
Bologna,-3.0,5.0,8.0,3.0,16,3.0,2.0,0.0
Lecce,-3.0,3.0,6.0,2.0,17,2.0,3.0,0.0
Sampdoria,-7.0,2.0,9.0,2.0,18,2.0,3.0,0.0
Cremonese,-5.0,4.0,9.0,1.0,19,1.0,4.0,0.0
Monza,-11.0,2.0,13.0,0.0,20,0.0,5.0,0.0
