squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,24.0,34.0,10.0,2.0,1,38.0,0.0,12.0
Lazio,18.0,26.0,8.0,3.0,2,30.0,2.0,9.0
Milan,13.0,27.0,14.0,3.0,3,30.0,2.0,9.0
Juventus,14.0,21.0,7.0,4.0,4,28.0,2.0,8.0
Inter,11.0,31.0,20.0,0.0,5,27.0,5.0,9.0
Atalanta,8.0,20.0,12.0,3.0,6,27.0,3.0,8.0
Roma,4.0,17.0,13.0,2.0,7,26.0,4.0,8.0
Udinese,8.0,22.0,14.0,6.0,8,24.0,2.0,6.0
Torino,-1.0,15.0,16.0,2.0,9,20.0,6.0,6.0
Fiorentina,-1.0,17.0,18.0,4.0,10,19.0,5.0,5.0
Salernitana,-2.0,19.0,21.0,5.0,11,17.0,5.0,4.0
Sassuolo,-4.0,15.0,19.0,4.0,12,16.0,6.0,4.0
Bologna,-8.0,17.0,25.0,4.0,13,16.0,6.0,4.0
Empoli,-9.0,10.0,19.0,5.0,14,14.0,6.0,3.0
Monza,-9.0,13.0,22.0,1.0,15,13.0,9.0,4.0
Lecce,-5.0,12.0,17.0,6.0,16,12.0,6.0,2.0
Spezia,-13.0,12.0,25.0,4.0,17,10.0,8.0,2.0
Cremonese,-13.0,11.0,24.0,7.0,18,7.0,7.0,0.0
Sampdoria,-19.0,6.0,25.0,3.0,19,6.0,10.0,1.0
Verona,-16.0,11.0,27.0,2.0,20,5.0,11.0,1.0
