Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,42.0,58.0,16.0,2.0,1,65.0,2.0,21.0
Juventus,20.0,40.0,20.0,5.0,2,50.0,5.0,15.0
Inter,18.0,46.0,28.0,2.0,3,50.0,7.0,16.0
Lazio,22.0,41.0,19.0,6.0,4,48.0,5.0,14.0
Roma,11.0,32.0,21.0,5.0,5,47.0,6.0,14.0
Milan,10.0,42.0,32.0,5.0,6,47.0,6.0,14.0
Atalanta,14.0,42.0,28.0,6.0,7,42.0,7.0,12.0
Bologna,-3.0,31.0,34.0,5.0,8,35.0,10.0,10.0
Torino,-2.0,27.0,29.0,7.0,9,34.0,9.0,9.0
Udinese,3.0,33.0,30.0,11.0,10,32.0,7.0,7.0
Monza,-5.0,30.0,35.0,5.0,11,32.0,11.0,9.0
Fiorentina,-2.0,29.0,31.0,7.0,12,31.0,10.0,8.0
Sassuolo,-7.0,30.0,37.0,6.0,13,30.0,11.0,8.0
Empoli,-10.0,23.0,33.0,10.0,14,28.0,9.0,6.0
Lecce,-5.0,24.0,29.0,9.0,15,27.0,10.0,6.0
Salernitana,-16.0,28.0,44.0,7.0,16,25.0,12.0,6.0
Spezia,-20.0,21.0,41.0,9.0,17,21.0,12.0,4.0
Verona,-17.0,20.0,37.0,6.0,18,18.0,15.0,4.0
Cremonese,-25.0,21.0,46.0,9.0,19,12.0,15.0,1.0
Sampdoria,-28.0,11.0,39.0,6.0,20,12.0,17.0,2.0
