squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,33.0,48.0,15.0,2.0,1,53.0,1.0,17.0
Inter,14.0,40.0,26.0,1.0,2,40.0,6.0,13.0
Lazio,20.0,36.0,16.0,5.0,3,38.0,4.0,11.0
Atalanta,16.0,39.0,23.0,5.0,4,38.0,4.0,11.0
Juventus,13.0,30.0,17.0,5.0,5,38.0,4.0,11.0
Milan,8.0,37.0,29.0,5.0,6,38.0,4.0,11.0
Roma,8.0,26.0,18.0,4.0,7,37.0,5.0,11.0
Udinese,6.0,28.0,22.0,8.0,8,29.0,5.0,7.0
Torino,-1.0,21.0,22.0,6.0,9,27.0,7.0,7.0
Bologna,-4.0,26.0,30.0,5.0,10,26.0,8.0,7.0
Empoli,-5.0,19.0,24.0,8.0,11,26.0,6.0,6.0
Monza,-3.0,25.0,28.0,4.0,12,25.0,9.0,7.0
Fiorentina,-4.0,22.0,26.0,6.0,13,24.0,8.0,6.0
Salernitana,-13.0,25.0,38.0,6.0,14,21.0,9.0,5.0
Lecce,-5.0,19.0,24.0,8.0,15,20.0,8.0,4.0
Sassuolo,-8.0,23.0,31.0,5.0,16,20.0,10.0,5.0
Spezia,-15.0,17.0,32.0,6.0,17,18.0,10.0,4.0
Verona,-14.0,18.0,32.0,4.0,18,13.0,13.0,3.0
Sampdoria,-26.0,8.0,34.0,3.0,19,9.0,15.0,2.0
Cremonese,-20.0,15.0,35.0,8.0,20,8.0,12.0,0.0
