squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,39.0,54.0,15.0,2.0,1,59.0,1.0,19.0
Juventus,17.0,34.0,17.0,5.0,2,44.0,4.0,13.0
Inter,15.0,41.0,26.0,2.0,3,44.0,6.0,14.0
Atalanta,17.0,41.0,24.0,5.0,4,41.0,5.0,12.0
Roma,10.0,29.0,19.0,5.0,5,41.0,5.0,12.0
Milan,8.0,38.0,30.0,5.0,6,41.0,5.0,12.0
Lazio,18.0,37.0,19.0,6.0,7,39.0,5.0,11.0
Udinese,5.0,30.0,25.0,9.0,8,30.0,6.0,7.0
Torino,-1.0,22.0,23.0,6.0,9,30.0,8.0,8.0
Monza,-2.0,28.0,30.0,5.0,10,29.0,9.0,8.0
Bologna,-4.0,28.0,32.0,5.0,11,29.0,9.0,8.0
Empoli,-7.0,21.0,28.0,9.0,12,27.0,7.0,6.0
Lecce,-3.0,22.0,25.0,9.0,13,24.0,8.0,5.0
Fiorentina,-6.0,23.0,29.0,6.0,14,24.0,10.0,6.0
Sassuolo,-7.0,26.0,33.0,6.0,15,24.0,10.0,6.0
Salernitana,-17.0,25.0,42.0,6.0,16,21.0,11.0,5.0
Spezia,-18.0,19.0,37.0,7.0,17,19.0,11.0,4.0
Verona,-13.0,20.0,33.0,5.0,18,17.0,13.0,4.0
Sampdoria,-26.0,10.0,36.0,5.0,19,11.0,15.0,2.0
Cremonese,-25.0,15.0,40.0,8.0,20,8.0,14.0,0.0
