Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,36.0,51.0,15.0,2.0,1,56.0,1.0,18.0
Inter,15.0,41.0,26.0,1.0,2,43.0,6.0,14.0
Juventus,16.0,33.0,17.0,5.0,3,41.0,4.0,12.0
Roma,10.0,28.0,18.0,4.0,4,40.0,5.0,12.0
Lazio,20.0,37.0,17.0,6.0,5,39.0,4.0,11.0
Atalanta,15.0,39.0,24.0,5.0,6,38.0,5.0,11.0
Milan,7.0,37.0,30.0,5.0,7,38.0,5.0,11.0
Torino,0.0,22.0,22.0,6.0,8,30.0,7.0,8.0
Udinese,5.0,28.0,23.0,8.0,9,29.0,6.0,7.0
Bologna,-3.0,28.0,31.0,5.0,10,29.0,8.0,8.0
Monza,-3.0,27.0,30.0,5.0,11,26.0,9.0,7.0
Empoli,-7.0,19.0,26.0,8.0,12,26.0,7.0,6.0
Fiorentina,-5.0,23.0,28.0,6.0,13,24.0,9.0,6.0
Lecce,-3.0,21.0,24.0,8.0,14,23.0,8.0,5.0
Sassuolo,-7.0,24.0,31.0,5.0,15,23.0,10.0,6.0
Salernitana,-16.0,25.0,41.0,6.0,16,21.0,10.0,5.0
Spezia,-18.0,17.0,35.0,6.0,17,18.0,11.0,4.0
Verona,-14.0,19.0,33.0,5.0,18,14.0,13.0,3.0
Sampdoria,-26.0,10.0,36.0,4.0,19,10.0,15.0,2.0
Cremonese,-22.0,15.0,37.0,8.0,20,8.0,13.0,0.0
