squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,44.0,60.0,16.0,2.0,1,68.0,2.0,22.0
Juventus,22.0,44.0,22.0,5.0,2,53.0,5.0,16.0
Inter,17.0,47.0,30.0,2.0,3,50.0,8.0,16.0
Lazio,22.0,41.0,19.0,7.0,4,49.0,5.0,14.0
Milan,10.0,43.0,33.0,6.0,5,48.0,6.0,14.0
Roma,10.0,35.0,25.0,5.0,6,47.0,7.0,14.0
Atalanta,12.0,42.0,30.0,6.0,7,42.0,8.0,12.0
Torino,0.0,29.0,29.0,7.0,8,37.0,9.0,10.0
Bologna,-3.0,31.0,34.0,6.0,9,36.0,10.0,10.0
Udinese,4.0,34.0,30.0,11.0,10,35.0,7.0,8.0
Fiorentina,0.0,31.0,31.0,7.0,11,34.0,10.0,9.0
Monza,-5.0,31.0,36.0,6.0,12,33.0,11.0,9.0
Sassuolo,-6.0,34.0,40.0,6.0,13,33.0,11.0,9.0
Empoli,-11.0,23.0,34.0,10.0,14,28.0,10.0,6.0
Lecce,-7.0,24.0,31.0,9.0,15,27.0,11.0,6.0
Salernitana,-16.0,29.0,45.0,8.0,16,26.0,12.0,6.0
Spezia,-19.0,23.0,42.0,9.0,17,24.0,12.0,5.0
Verona,-17.0,21.0,38.0,7.0,18,19.0,15.0,4.0
Cremonese,-27.0,21.0,48.0,9.0,19,12.0,16.0,1.0
Sampdoria,-30.0,13.0,43.0,6.0,20,12.0,18.0,2.0
