Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,30.0,44.0,14.0,2.0,1,47.0,1.0,15.0
Milan,15.0,35.0,20.0,5.0,2,38.0,2.0,11.0
Juventus,15.0,27.0,12.0,4.0,3,37.0,3.0,11.0
Inter,14.0,38.0,24.0,1.0,4,37.0,5.0,12.0
Lazio,16.0,31.0,15.0,4.0,5,34.0,4.0,10.0
Atalanta,14.0,34.0,20.0,4.0,6,34.0,4.0,10.0
Roma,7.0,23.0,16.0,4.0,7,34.0,4.0,10.0
Udinese,5.0,26.0,21.0,7.0,8,25.0,5.0,6.0
Torino,-2.0,18.0,20.0,5.0,9,23.0,7.0,6.0
Fiorentina,-3.0,21.0,24.0,5.0,10,23.0,7.0,6.0
Bologna,-6.0,23.0,29.0,4.0,11,22.0,8.0,6.0
Empoli,-6.0,16.0,22.0,7.0,12,22.0,6.0,5.0
Monza,-5.0,22.0,27.0,3.0,13,21.0,9.0,6.0
Lecce,-2.0,18.0,20.0,8.0,14,20.0,6.0,4.0
Spezia,-11.0,17.0,28.0,6.0,15,18.0,8.0,4.0
Salernitana,-12.0,23.0,35.0,6.0,16,18.0,8.0,4.0
Sassuolo,-11.0,17.0,28.0,4.0,17,16.0,10.0,4.0
Verona,-16.0,15.0,31.0,3.0,18,9.0,13.0,2.0
Sampdoria,-23.0,8.0,31.0,3.0,19,9.0,13.0,2.0
Cremonese,-19.0,13.0,32.0,7.0,20,7.0,11.0,0.0
