Squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,21.0,30.0,9.0,2.0,1,32.0,0.0,10.0
Atalanta,10.0,18.0,8.0,3.0,2,27.0,1.0,8.0
Milan,12.0,25.0,13.0,2.0,3,26.0,2.0,8.0
Roma,5.0,16.0,11.0,1.0,4,25.0,3.0,8.0
Lazio,16.0,24.0,8.0,3.0,5,24.0,2.0,7.0
Inter,8.0,25.0,17.0,0.0,6,24.0,4.0,8.0
Juventus,11.0,18.0,7.0,4.0,7,22.0,2.0,6.0
Udinese,8.0,20.0,12.0,4.0,8,22.0,2.0,6.0
Torino,-2.0,12.0,14.0,2.0,9,17.0,5.0,5.0
Salernitana,-1.0,16.0,17.0,4.0,10,16.0,4.0,4.0
Sassuolo,-3.0,14.0,17.0,3.0,11,15.0,5.0,4.0
Bologna,-4.0,14.0,18.0,4.0,12,13.0,5.0,3.0
Fiorentina,-4.0,13.0,17.0,4.0,13,13.0,5.0,3.0
Empoli,-8.0,9.0,17.0,5.0,14,11.0,5.0,2.0
Monza,-10.0,11.0,21.0,1.0,15,10.0,8.0,3.0
Spezia,-12.0,10.0,22.0,3.0,16,9.0,7.0,2.0
Lecce,-6.0,9.0,15.0,5.0,17,8.0,6.0,1.0
Sampdoria,-15.0,6.0,21.0,3.0,18,6.0,8.0,1.0
Verona,-13.0,11.0,24.0,2.0,19,5.0,9.0,1.0
Cremonese,-13.0,9.0,22.0,5.0,20,5.0,7.0,0.0
